OBJECTID,AFFGEOID,TRACTCE,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,SHAPE_Length,SHAPE_Area
4056,1400000US37183050100,50100,37, North Carolina,NC,37183, Wake,37183050100,"Census Tract 501, Wake County, North Carolina",0.82799497,3731,632,1572,58,1384,118,425,152,139,85,32367,7158,466,222,310,55,253,81,312,146,44,45.6,1504,730.3,112,84.2,1013,123.2,0,12,8,18.4,225,87,1392,542,17.1,5.8,8,4.7,32367,7158,15.9,5.9,8.3,2.1,6.8,1.8,12.5,5.7,3.2,3.3,40.3,18.3,3,2.2,64.4,7.5,0,2.2,0.6,1.3,16.3,6.2,37.3,13.1,0.6218,0.4575,0.2783,0.6596,2.0172,0.5153,0.1836,0.0303,0.526,0.1214,0.8614,0.043,0.6305,0.6655,1.296,0.6809,0.9681,0,0.2735,0.8388,0.985,3.0653,0.7974,7.24,0.4952,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,530,253,21.2,8.3,36340,0.057841285288652,0.0002135611155
4057,1400000US37183050300,50300,37, North Carolina,NC,37183, Wake,37183050300,"Census Tract 503, Wake County, North Carolina",0.4015901,2546,232,2081,39,1786,129,456,138,116,62,56305,15399,214,85,360,103,133,61,393,102,50,49.7,602,340.3,10,48.8,1274,163.8,25,36,21,28.6,340,104,2,4,17.9,5.6,6.5,3.4,56305,15399,9.3,3.7,14.1,3.8,5.2,2.3,15.4,4.2,2.8,2.8,23.6,13.2,0.4,2,61.2,7.8,1.2,1.7,1.2,1.6,19,5.4,0.1,0.2,0.6437,0.3209,0.046,0.4132,1.4237,0.33,0.5311,0.024,0.7046,0.101,1.3607,0.1334,0.4562,0.2971,0.7533,0.3627,0.9638,0.5489,0.4041,0.8698,0.3662,3.1527,0.829,6.6904,0.4083,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,344,135,13.5,5.1,4792,0.047211763090365,0.000103650386
4058,1400000US37183050400,50400,37, North Carolina,NC,37183, Wake,37183050400,"Census Tract 504, Wake County, North Carolina",0.71277325,1912,297,856,50,813,57,115,63,56,63,35831,8208,58,33,186,44,199,43,185,52,9,9.9,494,334.1,0,48,167,42.9,0,12,0,17,85,32,413,276,7.6,4,4.9,4.9,35831,8208,4.6,2.6,9.7,2.7,10.4,1.6,9.7,2.8,1.1,1.2,25.8,17,0,2.6,19.5,4.9,0,4,0,2.1,10.5,4,21.6,14,0.2721,0.1819,0.2092,0.176,0.8392,0.1464,0.2576,0.0503,0.3197,0.0372,0.6648,0.0307,0.4838,0,0.4838,0.2142,0.7974,0,0,0.7252,0.9723,2.4949,0.5535,4.4828,0.1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,182,100,9.5,5.2,4167,0.062045979598141,0.000182456065
4059,1400000US37183050500,50500,37, North Carolina,NC,37183, Wake,37183050500,"Census Tract 505, Wake County, North Carolina",1.3018622,3581,408,1843,32,1744,71,1037,366,210,112,32140,5124,367,211,305,44,597,200,434,181,216,103.3,1309,543.5,60,87.8,123,64.4,8,13,39,46.6,276,93,35,61,29,8,9,4.5,32140,5124,13.5,6.7,8.5,1.5,16.7,5.3,12.1,4.4,12.4,5.9,36.6,14.6,1.8,2.6,6.7,3.5,0.4,0.7,2.2,2.7,15.8,5.4,1,1.7,0.8432,0.5404,0.2832,0.5827,2.2495,0.5861,0.194,0.1496,0.4977,0.7251,1.5664,0.2185,0.5979,0.5624,1.1603,0.6051,0.5792,0.4416,0.5706,0.8319,0.6842,3.1075,0.8131,8.0837,0.6217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,198,16.9,5,3393,0.087357076259265,0.0003368489825
4060,1400000US37183050600,50600,37, North Carolina,NC,37183, Wake,37183050600,"Census Tract 506, Wake County, North Carolina",0.63112233,4051,855,1336,70,1173,93,754,269,152,79,16646,4779,221,114,248,81,560,172,502,142,178,87.6,2881,958.8,0,48,101,60.9,0,12,35,34.7,289,109,1405,858,28.3,9.5,8.7,4.7,16646,4779,11.5,5.8,6.1,2.1,13.8,3.1,12.4,4.8,15.2,7.4,71.1,18.3,0,1.3,7.6,4.5,0,2.6,3,2.9,24.6,9.3,34.7,19.9,0.8342,0.5172,0.8357,0.507,2.6941,0.7152,0.0898,0.0861,0.5191,0.8224,1.5174,0.1958,0.8153,0,0.8153,0.3985,0.6033,0,0.655,0.9099,0.9833,3.1515,0.8287,8.1784,0.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,709,187,17.5,5.2,3715,0.069728033199546,0.000162426613
4061,1400000US37183050700,50700,37, North Carolina,NC,37183, Wake,37183050700,"Census Tract 507, Wake County, North Carolina",0.74291623,3288,349,1483,84,1372,101,1001,259,236,99,18271,2128,254,93,418,67,842,195,442,94,192,60,2917,370,89,81.2,208,63.1,8,13,48,42.5,387,91,14,13,30.7,8,13.3,5.6,18271,2128,12.1,4.2,12.7,2.6,25.6,5.3,13.5,2.9,14,4.3,88.7,6.2,2.9,2.6,14,4.2,0.5,0.9,3.5,3.1,28.2,6.5,0.4,0.4,0.8627,0.7884,0.7825,0.5314,2.965,0.7885,0.4396,0.6867,0.5923,0.7861,2.5047,0.7954,0.9034,0.6565,1.5599,0.8182,0.7279,0.4574,0.6998,0.9272,0.5715,3.3839,0.8998,10.4135,0.9018,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,863,243,26.3,6.5,3464,0.07784593382357,0.0001904665675
4062,1400000US37183050800,50800,37, North Carolina,NC,37183, Wake,37183050800,"Census Tract 508, Wake County, North Carolina",0.85596458,4571,653,1121,43,915,80,1496,432,168,73,6053,871,1133,281,234,61,870,241,414,91,242,77.9,3498,707.4,299,124.3,82,32.2,0,12,172,70.8,326,72,1981,423,58.5,12.6,16.9,7.2,6053,871,36.8,5.7,5.1,1.4,19,4.5,16,4.6,26.4,8.2,76.5,11,7.1,2.8,7.3,2.9,0,3.1,18.8,7.6,35.6,7.2,43.3,6.9,0.9903,0.8901,0.9956,0.9471,3.8231,0.9871,0.0604,0.2461,0.7369,0.9733,2.0167,0.4921,0.8411,0.8137,1.6548,0.8636,0.5971,0,0.9724,0.9504,0.9876,3.5075,0.9288,11.002,0.9509,1,0,1,1,3,0,0,0,1,1,0,0,0,0,0,1,1,1,3,7,1079,400,41.8,11.1,6035,0.073779607542092,0.0002232797715
4063,1400000US37183050900,50900,37, North Carolina,NC,37183, Wake,37183050900,"Census Tract 509, Wake County, North Carolina",0.73084668,2906,455,912,63,676,63,1009,271,252,101,8621,1773,383,93,192,60,591,133,326,98,193,54.8,2423,582.1,20,49.4,32,24.7,34,38,42,27.6,216,63,1104,434,50.6,10.3,26.7,9,8621,1773,28.9,6.6,6.6,2.2,20.3,3.3,11.2,3.5,28.6,7.7,83.4,15.2,0.7,1.8,3.5,2.7,3.7,4.2,6.2,4,32,8.8,38,13.7,0.9789,0.9794,0.9892,0.8919,3.8393,0.9895,0.1079,0.3218,0.4311,0.9822,1.8431,0.3754,0.8752,0.389,1.2642,0.6637,0.4713,0.6664,0.8385,0.94,0.9853,3.9015,0.9858,10.8482,0.9402,1,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,1,1,2,6,639,167,22,5.1,6937,0.072647747679247,0.000187770621
4064,1400000US37183051000,51000,37, North Carolina,NC,37183, Wake,37183051000,"Census Tract 510, Wake County, North Carolina",0.37574288,2036,287,1323,28,1186,90,425,145,118,81,38072,9158,131,83,117,76,237,147,322,215,61,48.3,435,429.1,0,48,337,100.6,0,12,40,46.6,233,100,96,97,21.3,7.9,8.6,5.9,38072,9158,8.5,5.4,5.7,3.9,11.6,7,15.8,9.1,5.1,4.1,21.4,20.9,0,2.5,25.5,7.6,0,2.6,3.4,3.9,19.6,8,4.7,4.7,0.7217,0.5091,0.174,0.3742,1.7789,0.441,0.077,0.0608,0.7264,0.2556,1.1198,0.0736,0.4249,0,0.4249,0.1836,0.8493,0,0.6892,0.8752,0.8952,3.3088,0.8787,6.6324,0.3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,117,14.9,4.7,2538,0.062657182382874,9.71844190004006E-05
4065,1400000US37183051101,51101,37, North Carolina,NC,37183, Wake,37183051101,"Census Tract 511.01, Wake County, North Carolina",0.63157484,5475,431,650,62,586,60,899,322,184,91,5225,1069,125,62,61,31,321,98,147,87,114,71.2,1994,566.7,68,110.6,148,61.8,7,16,4,18,91,60,3742,353,51.3,16.1,10.3,5,5225,1069,13.3,5.9,1.1,0.6,5.9,1.7,2.7,1.6,19.5,12,36.4,9.9,1.3,2.1,22.8,9.3,1.1,2.5,0.7,3.1,15.5,9.6,68.3,3.6,0.9803,0.6344,0.9965,0.5756,3.1868,0.8459,0.0143,0.0264,0.0144,0.9111,0.9662,0.0521,0.5966,0.4917,1.0883,0.5657,0.8282,0.5403,0.301,0.8274,0.9928,3.4896,0.925,8.7309,0.7096,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4,394,149,7.2,2.7,2892,0.06227647868154,0.0001635626855
